Day,Current Population,Total Infection Cases,Currently Infected,Percentage Currently Infected,New Infected Today,Total Dead,New Dead Today,Total Recovered,New Recovered Today
0,11080000,6,6,0.0001,1,0,0,0,0
1,11080000,14,14,0.0001,8,0,0,0,0
2,11080000,29,29,0.0003,15,0,0,0,0
3,11080000,75,75,0.0007,46,0,0,0,0
4,11080000,193,193,0.0017,118,0,0,0,0
5,11080000,495,495,0.0045,302,0,0,0,0
6,11080000,1252,1252,0.0113,757,0,0,0,0
7,11080000,3199,3199,0.0289,1947,0,0,1,1
8,11080000,3280,3280,0.0296,81,0,0,13,12
9,11080000,3359,3359,0.0303,79,0,0,19,6
10,11079999,3459,3458,0.0312,100,1,1,50,31
11,11079999,3532,3531,0.0319,73,1,0,80,30
12,11079999,3610,3609,0.0326,78,1,0,106,26
13,11079999,3684,3683,0.0332,74,1,0,138,32
14,11079999,3777,3776,0.0341,93,1,0,176,38
15,11079997,3873,3870,0.0349,96,3,2,251,75
16,11079997,3957,3954,0.0357,84,3,0,294,43
17,11079997,4048,4045,0.0365,91,3,0,358,64
18,11079997,4173,4170,0.0376,125,3,0,394,36
19,11079995,4309,4304,0.0388,136,5,2,465,71
20,11079994,4397,4391,0.0396,88,6,1,533,68
21,11079992,4496,4488,0.0405,99,8,2,624,91
22,11079987,4624,4611,0.0416,128,13,5,714,90
23,11079986,4764,4750,0.0429,140,14,1,777,63
24,11079983,4886,4869,0.0439,122,17,3,857,80
25,11079982,5038,5020,0.0453,152,18,1,914,57
26,11079980,5166,5146,0.0464,128,20,2,993,79
27,11079975,5292,5267,0.0475,126,25,5,1093,100
28,11079972,5443,5415,0.0489,151,28,3,1174,81
29,11079970,5578,5548,0.0501,135,30,2,1270,96
30,11079966,5726,5692,0.0514,148,34,4,1365,95
31,11079963,5897,5860,0.0529,171,37,3,1461,96
32,11079962,6064,6026,0.0544,167,38,1,1534,73
33,11079960,6232,6192,0.0559,168,40,2,1630,96
34,11079957,6407,6364,0.0574,175,43,3,1730,100
35,11079954,6609,6563,0.0592,202,46,3,1841,111
36,11079952,6805,6757,0.061,196,48,2,1939,98
37,11079946,6990,6936,0.0626,185,54,6,2087,148
38,11079944,7181,7125,0.0643,191,56,2,2189,102
39,11079934,7384,7318,0.066,203,66,10,2355,166
40,11079931,7589,7520,0.0679,205,69,3,2467,112
41,11079926,7797,7723,0.0697,208,74,5,2595,128
42,11079924,7977,7901,0.0713,180,76,2,2732,137
43,11079916,8207,8123,0.0733,230,84,8,2890,158
44,11079909,8445,8354,0.0754,238,91,7,3040,150
45,11079897,8741,8638,0.078,296,103,12,3233,193
46,11079891,9010,8901,0.0803,269,109,6,3382,149
47,11079883,9305,9188,0.0829,295,117,8,3551,169
48,11079874,9590,9464,0.0854,285,126,9,3751,200
49,11079867,9853,9720,0.0877,263,133,7,3908,157
50,11079850,10134,9984,0.0901,281,150,17,4145,237
51,11079842,10432,10274,0.0927,298,158,8,4319,174
52,11079830,10758,10588,0.0956,326,170,12,4532,213
53,11079818,11057,10875,0.0982,299,182,12,4750,218
54,11079809,11412,11221,0.1013,355,191,9,4944,194
55,11079796,11708,11504,0.1038,296,204,13,5170,226
56,11079783,12056,11839,0.1069,348,217,13,5398,228
57,11079763,12430,12193,0.11,374,237,20,5686,288
58,11079740,12763,12503,0.1128,333,260,23,5999,313
59,11079723,13103,12826,0.1158,340,277,17,6249,250
60,11079706,13456,13162,0.1188,353,294,17,6514,265
61,11079689,13804,13493,0.1218,348,311,17,6750,236
62,11079673,14205,13878,0.1253,401,327,16,7012,262
63,11079653,14575,14228,0.1284,370,347,20,7292,280
64,11079642,14973,14615,0.1319,398,358,11,7511,219
65,11079625,15516,15141,0.1367,543,375,17,7794,283
66,11079599,16021,15620,0.141,505,401,26,8142,348
67,11079570,16497,16067,0.145,476,430,29,8509,367
68,11079541,17064,16605,0.1499,567,459,29,8886,377
69,11079509,17548,17057,0.154,484,491,32,9281,395
70,11079480,18114,17594,0.1588,566,520,29,9668,387
71,11079450,18664,18114,0.1635,550,550,30,10046,378
72,11079426,19287,18713,0.1689,623,574,24,10433,387
73,11079396,19967,19363,0.1748,680,604,30,10817,384
74,11079361,20571,19932,0.1799,604,639,35,11281,464
75,11079321,21290,20611,0.186,719,679,40,11719,438
76,11079298,21876,21174,0.1911,586,702,23,12064,345
77,11079269,22590,21859,0.1973,714,731,29,12457,393
78,11079227,23301,22528,0.2033,711,773,42,12987,530
79,11079190,23915,23105,0.2085,614,810,37,13481,494
80,11079149,24531,23680,0.2137,616,851,41,13987,506
81,11079114,25383,24497,0.2211,852,886,35,14426,439
82,11079059,26011,25070,0.2263,628,941,55,15036,610
83,11079006,26844,25850,0.2333,833,994,53,15605,569
84,11078966,27651,26617,0.2402,807,1034,40,16087,482
85,11078907,28633,27540,0.2486,982,1093,59,16737,650
86,11078864,29573,28437,0.2567,940,1136,43,17260,523
87,11078817,30326,29143,0.2631,753,1183,47,17811,551
88,11078766,31182,29948,0.2703,856,1234,51,18438,627
89,11078701,32021,30722,0.2773,839,1299,65,19116,678
90,11078652,33310,31962,0.2885,1289,1348,49,19727,611
91,11078589,34374,32963,0.2975,1064,1411,63,20440,713
92,11078527,35468,33995,0.3069,1094,1473,62,21162,722
93,11078459,36658,35117,0.317,1190,1541,68,21893,731
94,11078389,37706,36095,0.3258,1048,1611,70,22672,779
95,11078327,38808,37135,0.3352,1102,1673,62,23370,698
96,11078250,39986,38236,0.3451,1178,1750,77,24226,856
97,11078176,41158,39334,0.3551,1172,1824,74,25051,825
98,11078109,42474,40583,0.3663,1316,1891,67,25819,768
99,11078011,43970,41981,0.379,1496,1989,98,26817,998
